run_id,mode,seed,phase,episode,reached_merge_zone,entered_main_lane,merge_completed,time_to_merge,final_position,final_lane,final_velocity,termination_reason
diag_egoistic_seed0,egoistic,0,train,12,1,1,1,21,107.05,0,7.067,safe_merge
diag_egoistic_seed0,egoistic,0,train,13,1,1,0,,83.763,0,11.931,collision_without_merge
diag_egoistic_seed0,egoistic,0,train,14,1,1,0,,82.817,0,14.016,collision_without_merge
diag_egoistic_seed0,egoistic,0,train,15,1,1,1,25,114.159,0,14.0,safe_merge
diag_egoistic_seed0,egoistic,0,train,16,1,1,1,14,108.784,0,10.091,safe_merge
diag_egoistic_seed0,egoistic,0,train,17,1,1,1,15,181.952,0,14.136,safe_merge
diag_egoistic_seed0,egoistic,0,train,18,1,1,1,20,108.06,0,8.364,safe_merge
diag_egoistic_seed0,egoistic,0,train,19,1,1,1,20,105.995,0,12.276,safe_merge
diag_egoistic_seed0,egoistic,0,train,20,1,1,1,20,147.549,0,11.632,safe_merge
diag_egoistic_seed0,egoistic,0,train,21,1,1,1,18,101.988,0,8.043,safe_merge
diag_egoistic_seed0,egoistic,0,train,22,1,1,1,9,115.671,0,13.718,safe_merge
diag_egoistic_seed0,egoistic,0,train,23,1,1,1,20,106.95,0,12.565,safe_merge
diag_egoistic_seed0,egoistic,0,train,24,1,1,0,,99.96,0,10.44,collision_without_merge
diag_egoistic_seed0,egoistic,0,eval,0,1,1,1,12,107.254,0,13.187,safe_merge
diag_egoistic_seed0,egoistic,0,eval,1,0,0,0,,34.529,1,6.0,max_steps_unmerged
diag_egoistic_seed0,egoistic,0,eval,2,0,0,0,,22.94,1,4.0,max_steps_unmerged
diag_egoistic_seed0,egoistic,0,eval,3,1,0,0,,60.742,1,12.0,max_steps_unmerged
diag_egoistic_seed0,egoistic,0,eval,4,1,0,0,,79.911,1,14.0,max_steps_unmerged
diag_egoistic_seed0,egoistic,0,eval,5,1,1,1,12,105.644,0,9.544,safe_merge
diag_egoistic_seed0,egoistic,0,eval,6,0,0,0,,15.97,1,0.0,max_steps_unmerged
diag_egoistic_seed0,egoistic,0,eval,7,0,0,0,,17.012,1,0.0,max_steps_unmerged
diag_egoistic_seed0,egoistic,0,eval,8,1,1,1,20,105.891,0,11.603,safe_merge
diag_egoistic_seed0,egoistic,0,eval,9,0,0,0,,34.039,1,6.0,max_steps_unmerged
diag_rawlsian_seed0,rawlsian,0,train,0,1,1,1,42,101.105,0,4.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,1,1,1,1,20,162.094,0,12.605,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,2,1,1,1,15,110.556,0,10.871,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,3,1,1,1,24,101.429,0,7.022,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,4,1,1,0,,74.305,0,11.43,collision_without_merge
diag_rawlsian_seed0,rawlsian,0,train,5,1,1,1,13,166.928,0,15.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,6,1,1,1,13,125.296,0,14.083,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,7,1,1,1,29,104.429,0,6.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,8,1,1,1,15,102.618,0,11.062,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,9,1,1,1,17,211.367,0,15.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,10,1,1,1,13,158.82,0,15.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,11,1,1,1,9,119.432,0,13.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,12,1,1,1,13,166.24,0,15.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,13,1,1,0,,93.9,0,15.0,collision_without_merge
diag_rawlsian_seed0,rawlsian,0,train,14,1,1,1,13,114.881,0,15.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,15,1,1,1,10,124.605,0,15.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,16,1,1,0,,86.237,0,14.091,collision_without_merge
diag_rawlsian_seed0,rawlsian,0,train,17,1,1,1,21,253.137,0,15.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,18,1,1,1,10,100.423,0,14.364,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,19,1,1,0,,96.679,0,14.276,collision_without_merge
diag_rawlsian_seed0,rawlsian,0,train,20,1,1,1,11,106.864,0,11.632,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,21,1,1,1,10,131.469,0,15.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,22,1,1,1,12,110.826,0,11.718,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,23,1,1,1,16,215.738,0,15.0,safe_merge
diag_rawlsian_seed0,rawlsian,0,train,24,1,1,0,,76.639,0,12.44,collision_without_merge
diag_rawlsian_seed0,rawlsian,0,eval,0,1,0,0,,897.569,1,15.0,max_steps_unmerged
diag_rawlsian_seed0,rawlsian,0,eval,1,1,0,0,,895.529,1,15.0,max_steps_unmerged
diag_rawlsian_seed0,rawlsian,0,eval,2,1,0,0,,891.77,1,15.0,max_steps_unmerged
diag_rawlsian_seed0,rawlsian,0,eval,3,1,0,0,,888.857,1,15.0,max_steps_unmerged
diag_rawlsian_seed0,rawlsian,0,eval,4,1,0,0,,894.911,1,15.0,max_steps_unmerged
diag_rawlsian_seed0,rawlsian,0,eval,5,1,0,0,,898.747,1,15.0,max_steps_unmerged
diag_rawlsian_seed0,rawlsian,0,eval,6,1,0,0,,890.432,1,15.0,max_steps_unmerged
diag_rawlsian_seed0,rawlsian,0,eval,7,1,0,0,,889.354,1,15.0,max_steps_unmerged
diag_rawlsian_seed0,rawlsian,0,eval,8,1,0,0,,897.632,1,15.0,max_steps_unmerged
diag_rawlsian_seed0,rawlsian,0,eval,9,1,0,0,,891.03,1,15.0,max_steps_unmerged
