run_id,condition,seed,bank,scenario_id,term_reason,completion,collision,timeout,merge_order,role_V0,speed_class_V0,merge_position_V0,hard_brake_count_V0,role_V1,speed_class_V1,merge_position_V1,hard_brake_count_V1,role_V2,speed_class_V2,merge_position_V2,hard_brake_count_V2,role_V3,speed_class_V3,merge_position_V3,hard_brake_count_V3
mean_900101,mean,900101,H0,H0_00036,success,1,0,0,V1>V2>V3>V0,ramp,homogeneous,4,9,ramp,homogeneous,1,0,mainline,homogeneous,2,5,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00037,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,9,mainline,homogeneous,2,6,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00038,success,1,0,0,V0>V3>V1>V2,ramp,homogeneous,1,0,ramp,homogeneous,3,3,mainline,homogeneous,4,8,mainline,homogeneous,2,6
mean_900101,mean,900101,H0,H0_00039,success,1,0,0,V1>V3>V2>V0,ramp,homogeneous,4,10,ramp,homogeneous,1,0,mainline,homogeneous,3,0,mainline,homogeneous,2,5
mean_900101,mean,900101,H0,H0_00040,success,1,0,0,V2>V1>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,4,10
mean_900101,mean,900101,H0,H0_00041,success,1,0,0,V3>V1>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,4,9,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00042,success,1,0,0,V1>V2>V0>V3,ramp,homogeneous,3,2,ramp,homogeneous,1,0,mainline,homogeneous,2,4,mainline,homogeneous,4,10
mean_900101,mean,900101,H0,H0_00043,success,1,0,0,V2>V1>V3>V0,ramp,homogeneous,4,9,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00044,success,1,0,0,V1>V3>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,4,10,mainline,homogeneous,2,7
mean_900101,mean,900101,H0,H0_00045,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,10,ramp,homogeneous,2,2,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00046,success,1,0,0,V2>V0>V1>V3,ramp,homogeneous,2,2,ramp,homogeneous,3,0,mainline,homogeneous,1,0,mainline,homogeneous,4,10
mean_900101,mean,900101,H0,H0_00047,success,1,0,0,V0>V3>V1>V2,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,4,10,mainline,homogeneous,2,4
mean_900101,mean,900101,H0,H0_00048,success,1,0,0,V2>V0>V1>V3,ramp,homogeneous,2,1,ramp,homogeneous,3,0,mainline,homogeneous,1,0,mainline,homogeneous,4,9
mean_900101,mean,900101,H0,H0_00049,success,1,0,0,V3>V0>V1>V2,ramp,homogeneous,2,1,ramp,homogeneous,3,0,mainline,homogeneous,4,9,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00050,success,1,0,0,V1>V3>V0>V2,ramp,homogeneous,3,1,ramp,homogeneous,1,0,mainline,homogeneous,4,11,mainline,homogeneous,2,7
mean_900101,mean,900101,H0,H0_00051,success,1,0,0,V1>V3>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,4,9,mainline,homogeneous,2,0
mean_900101,mean,900101,H0,H0_00052,success,1,0,0,V2>V1>V3>V0,ramp,homogeneous,4,9,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00053,success,1,0,0,V1>V2>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,2,7,mainline,homogeneous,4,10
mean_900101,mean,900101,H0,H0_00054,success,1,0,0,V2>V1>V3>V0,ramp,homogeneous,4,9,ramp,homogeneous,2,1,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00055,success,1,0,0,V2>V0>V3>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,8,mainline,homogeneous,1,0,mainline,homogeneous,3,1
mean_900101,mean,900101,H0,H0_00056,success,1,0,0,V2>V0>V1>V3,ramp,homogeneous,2,0,ramp,homogeneous,3,0,mainline,homogeneous,1,0,mainline,homogeneous,4,9
mean_900101,mean,900101,H0,H0_00057,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,10,mainline,homogeneous,2,4,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00058,success,1,0,0,V1>V2>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,2,5,mainline,homogeneous,4,10
mean_900101,mean,900101,H0,H0_00059,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,10,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00060,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,9,mainline,homogeneous,2,5,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00061,success,1,0,0,V1>V3>V2>V0,ramp,homogeneous,4,7,ramp,homogeneous,1,0,mainline,homogeneous,3,0,mainline,homogeneous,2,3
mean_900101,mean,900101,H0,H0_00062,success,1,0,0,V1>V3>V2>V0,ramp,homogeneous,4,8,ramp,homogeneous,1,0,mainline,homogeneous,3,0,mainline,homogeneous,2,6
mean_900101,mean,900101,H0,H0_00063,success,1,0,0,V1>V2>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,2,3,mainline,homogeneous,4,10
mean_900101,mean,900101,H0,H0_00064,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,8,mainline,homogeneous,2,6,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00065,success,1,0,0,V0>V3>V1>V2,ramp,homogeneous,1,5,ramp,homogeneous,3,0,mainline,homogeneous,4,8,mainline,homogeneous,2,0
mean_900101,mean,900101,H0,H0_00066,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,8,ramp,homogeneous,2,0,mainline,homogeneous,3,5,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00067,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,7,mainline,homogeneous,2,3,mainline,homogeneous,3,5
mean_900101,mean,900101,H0,H0_00068,success,1,0,0,V0>V3>V1>V2,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,4,11,mainline,homogeneous,2,3
mean_900101,mean,900101,H0,H0_00069,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,2,ramp,homogeneous,4,9,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00070,success,1,0,0,V0>V3>V2>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,8,mainline,homogeneous,3,0,mainline,homogeneous,2,3
mean_900101,mean,900101,H0,H0_00071,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,9,ramp,homogeneous,2,0,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00072,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,1,ramp,homogeneous,4,5,mainline,homogeneous,3,5,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00073,success,1,0,0,V2>V1>V3>V0,ramp,homogeneous,4,9,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00074,success,1,0,0,V0>V3>V2>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,9,mainline,homogeneous,3,0,mainline,homogeneous,2,1
mean_900101,mean,900101,H0,H0_00075,success,1,0,0,V1>V3>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,4,9,mainline,homogeneous,2,0
mean_900101,mean,900101,H0,H0_00076,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,10,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00077,success,1,0,0,V2>V1>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,2,2,mainline,homogeneous,1,0,mainline,homogeneous,4,9
mean_900101,mean,900101,H0,H0_00078,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,10,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00079,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,3,ramp,homogeneous,4,5,mainline,homogeneous,2,0,mainline,homogeneous,3,5
mean_900101,mean,900101,H0,H0_00080,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,10,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00081,success,1,0,0,V3>V0>V1>V2,ramp,homogeneous,2,1,ramp,homogeneous,3,0,mainline,homogeneous,4,9,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00082,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,3,ramp,homogeneous,4,8,mainline,homogeneous,3,1,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00083,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,9,mainline,homogeneous,2,1,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00084,success,1,0,0,V0>V3>V1>V2,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,4,9,mainline,homogeneous,2,0
mean_900101,mean,900101,H0,H0_00085,success,1,0,0,V1>V3>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,4,11,mainline,homogeneous,2,5
mean_900101,mean,900101,H0,H0_00086,success,1,0,0,V2>V0>V1>V3,ramp,homogeneous,2,0,ramp,homogeneous,3,0,mainline,homogeneous,1,0,mainline,homogeneous,4,9
mean_900101,mean,900101,H0,H0_00087,success,1,0,0,V0>V3>V1>V2,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,4,10,mainline,homogeneous,2,4
mean_900101,mean,900101,H0,H0_00088,success,1,0,0,V1>V2>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,2,5,mainline,homogeneous,4,10
mean_900101,mean,900101,H0,H0_00089,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,8,mainline,homogeneous,2,4,mainline,homogeneous,3,1
mean_900101,mean,900101,H0,H0_00090,success,1,0,0,V2>V1>V3>V0,ramp,homogeneous,4,10,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00091,success,1,0,0,V3>V1>V0>V2,ramp,homogeneous,3,1,ramp,homogeneous,2,0,mainline,homogeneous,4,9,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00092,success,1,0,0,V1>V3>V2>V0,ramp,homogeneous,4,7,ramp,homogeneous,1,0,mainline,homogeneous,3,0,mainline,homogeneous,2,6
mean_900101,mean,900101,H0,H0_00093,success,1,0,0,V0>V2>V1>V3,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,2,6,mainline,homogeneous,4,12
mean_900101,mean,900101,H0,H0_00094,success,1,0,0,V2>V0>V3>V1,ramp,homogeneous,2,3,ramp,homogeneous,4,5,mainline,homogeneous,1,0,mainline,homogeneous,3,5
mean_900101,mean,900101,H0,H0_00095,success,1,0,0,V3>V1>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,4,11,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00096,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,8,mainline,homogeneous,2,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00097,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,9,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00098,success,1,0,0,V2>V1>V3>V0,ramp,homogeneous,4,9,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00099,success,1,0,0,V1>V3>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,4,10,mainline,homogeneous,2,5
mean_900101,mean,900101,H0,H0_00100,success,1,0,0,V0>V3>V1>V2,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,4,11,mainline,homogeneous,2,5
mean_900101,mean,900101,H0,H0_00101,success,1,0,0,V1>V3>V2>V0,ramp,homogeneous,4,9,ramp,homogeneous,1,0,mainline,homogeneous,3,0,mainline,homogeneous,2,0
mean_900101,mean,900101,H0,H0_00102,success,1,0,0,V3>V1>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,2,2,mainline,homogeneous,4,9,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00103,success,1,0,0,V2>V1>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,4,11
mean_900101,mean,900101,H0,H0_00104,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,9,mainline,homogeneous,2,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00105,success,1,0,0,V1>V2>V3>V0,ramp,homogeneous,4,8,ramp,homogeneous,1,0,mainline,homogeneous,2,5,mainline,homogeneous,3,1
mean_900101,mean,900101,H0,H0_00106,success,1,0,0,V1>V3>V2>V0,ramp,homogeneous,4,8,ramp,homogeneous,1,0,mainline,homogeneous,3,0,mainline,homogeneous,2,4
mean_900101,mean,900101,H0,H0_00107,success,1,0,0,V1>V2>V3>V0,ramp,homogeneous,4,9,ramp,homogeneous,1,0,mainline,homogeneous,2,8,mainline,homogeneous,3,1
mean_900101,mean,900101,H0,H0_00108,success,1,0,0,V3>V1>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,4,9,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00109,success,1,0,0,V3>V1>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,2,2,mainline,homogeneous,4,10,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00110,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,10,ramp,homogeneous,2,0,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00111,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,2,ramp,homogeneous,4,9,mainline,homogeneous,3,1,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00112,success,1,0,0,V3>V0>V1>V2,ramp,homogeneous,2,0,ramp,homogeneous,3,0,mainline,homogeneous,4,9,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00113,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,9,ramp,homogeneous,2,0,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00114,success,1,0,0,V0>V3>V1>V2,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,4,9,mainline,homogeneous,2,6
mean_900101,mean,900101,H0,H0_00115,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,9,mainline,homogeneous,3,1,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00116,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,10,ramp,homogeneous,2,0,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00117,collision,0,1,0,DNF,ramp,homogeneous,,0,ramp,homogeneous,,0,mainline,homogeneous,,1,mainline,homogeneous,,9
mean_900101,mean,900101,H0,H0_00118,success,1,0,0,V0>V3>V2>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,10,mainline,homogeneous,3,0,mainline,homogeneous,2,0
mean_900101,mean,900101,H0,H0_00119,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,10,ramp,homogeneous,2,2,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00120,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,8,ramp,homogeneous,2,0,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00121,success,1,0,0,V2>V0>V3>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,7,mainline,homogeneous,1,0,mainline,homogeneous,3,2
mean_900101,mean,900101,H0,H0_00122,success,1,0,0,V3>V1>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,4,9,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00123,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,8,mainline,homogeneous,2,3,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00124,success,1,0,0,V1>V3>V2>V0,ramp,homogeneous,4,8,ramp,homogeneous,1,0,mainline,homogeneous,3,0,mainline,homogeneous,2,5
mean_900101,mean,900101,H0,H0_00125,success,1,0,0,V1>V2>V3>V0,ramp,homogeneous,4,10,ramp,homogeneous,1,0,mainline,homogeneous,2,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00126,success,1,0,0,V0>V2>V1>V3,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,2,0,mainline,homogeneous,4,9
mean_900101,mean,900101,H0,H0_00127,success,1,0,0,V1>V3>V2>V0,ramp,homogeneous,4,9,ramp,homogeneous,1,0,mainline,homogeneous,3,0,mainline,homogeneous,2,4
mean_900101,mean,900101,H0,H0_00128,success,1,0,0,V2>V1>V3>V0,ramp,homogeneous,4,9,ramp,homogeneous,2,2,mainline,homogeneous,1,0,mainline,homogeneous,3,1
mean_900101,mean,900101,H0,H0_00129,success,1,0,0,V1>V2>V0>V3,ramp,homogeneous,3,2,ramp,homogeneous,1,0,mainline,homogeneous,2,4,mainline,homogeneous,4,7
mean_900101,mean,900101,H0,H0_00130,success,1,0,0,V3>V0>V1>V2,ramp,homogeneous,2,0,ramp,homogeneous,3,0,mainline,homogeneous,4,9,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00131,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,9,mainline,homogeneous,2,1,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00132,success,1,0,0,V2>V0>V1>V3,ramp,homogeneous,2,0,ramp,homogeneous,3,5,mainline,homogeneous,1,0,mainline,homogeneous,4,8
mean_900101,mean,900101,H0,H0_00133,success,1,0,0,V2>V1>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,4,9
mean_900101,mean,900101,H0,H0_00134,success,1,0,0,V2>V1>V3>V0,ramp,homogeneous,4,7,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,3,4
mean_900101,mean,900101,H0,H0_00135,success,1,0,0,V3>V1>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,4,10,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00136,success,1,0,0,V0>V3>V2>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,9,mainline,homogeneous,3,0,mainline,homogeneous,2,5
mean_900101,mean,900101,H0,H0_00137,success,1,0,0,V2>V0>V3>V1,ramp,homogeneous,2,1,ramp,homogeneous,4,9,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00138,success,1,0,0,V2>V0>V1>V3,ramp,homogeneous,2,1,ramp,homogeneous,3,0,mainline,homogeneous,1,0,mainline,homogeneous,4,9
mean_900101,mean,900101,H0,H0_00139,success,1,0,0,V1>V3>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,4,10,mainline,homogeneous,2,4
mean_900101,mean,900101,H0,H0_00140,success,1,0,0,V2>V1>V3>V0,ramp,homogeneous,4,10,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,3,0
