condition,seed,step,completion,collision,timeout,q_policy,q_oracle
mean,900103,1350000,0.692,0.293,0.015,0.3725,0.47
mean,900103,1400000,0.758,0.24,0.001,0.4567,0.3535
mean,900103,1450000,0.719,0.281,0.0,0.2619,0.3452
mean,900103,1500000,0.659,0.327,0.014,0.2936,0.4418
mean,900103,1550000,0.646,0.334,0.02,0.2673,0.5253
mean,900103,1600000,0.562,0.381,0.057,-0.0495,0.3747
mean,900103,1650000,0.561,0.421,0.018,0.397,0.653
mean,900103,1700000,0.693,0.3,0.007,0.5234,0.959
mean,900103,1750000,0.742,0.242,0.016,0.5968,0.1997
mean,900103,1800000,0.77,0.224,0.006,0.1459,0.4226
mean,900103,1850000,0.79,0.203,0.007,0.3631,0.4338
mean,900103,1900000,0.861,0.13,0.009,0.5683,0.3951
mean,900103,1950000,0.843,0.122,0.035,0.4654,0.1633
mean,900103,2000000,0.851,0.139,0.011,0.6195,0.4035
mean,900104,1250000,0.783,0.217,0.0,0.4661,0.469
mean,900104,1300000,0.772,0.218,0.01,0.4775,0.3326
mean,900104,1350000,0.636,0.326,0.038,0.2219,0.3099
mean,900104,1400000,0.637,0.313,0.05,0.4663,0.5325
mean,900104,1450000,0.739,0.251,0.01,0.4935,0.7031
mean,900104,1500000,0.754,0.23,0.016,0.4704,0.4734
mean,900104,1550000,0.802,0.189,0.009,0.5319,0.5051
mean,900104,1600000,0.817,0.183,0.0,0.5087,0.4899
mean,900104,1650000,0.769,0.226,0.004,0.4115,0.5312
mean,900104,1700000,0.793,0.207,0.0,0.5213,0.5296
mean,900104,1750000,0.862,0.138,0.0,0.5552,0.6642
mean,900104,1800000,0.772,0.227,0.001,0.4667,0.4734
mean,900104,1850000,0.814,0.168,0.017,0.5374,0.5329
mean,900104,1900000,0.737,0.236,0.027,0.4058,0.4338
mean,900104,1950000,0.819,0.178,0.003,0.5254,0.5054
mean,900104,2000000,0.812,0.159,0.029,0.5244,0.4878
mean,910101,1250000,0.907,0.087,0.006,0.6035,0.4078
mean,910101,1300000,0.854,0.136,0.01,0.5265,0.341
mean,910101,1350000,0.813,0.166,0.021,0.5708,0.4326
mean,910101,1400000,0.824,0.134,0.042,0.5791,0.5303
mean,910101,1450000,0.809,0.181,0.01,0.5378,0.6671
mean,910101,1500000,0.845,0.143,0.012,0.5413,0.6234
mean,910101,1550000,0.819,0.18,0.001,0.4421,0.2493
mean,910101,1600000,0.719,0.278,0.003,0.3565,0.2381
mean,910101,1650000,0.769,0.224,0.007,0.3812,0.461
mean,910101,1700000,0.691,0.283,0.026,0.4487,0.5542
mean,910101,1750000,0.663,0.317,0.02,0.4024,0.5919
mean,910101,1800000,0.684,0.213,0.104,0.4561,0.574
mean,910101,1850000,0.707,0.24,0.053,0.4805,0.5493
mean,910101,1900000,0.734,0.221,0.045,0.5122,0.5275
mean,910101,1950000,0.732,0.244,0.025,0.5139,0.4376
mean,910101,2000000,0.789,0.211,0.0,0.3439,0.5007
mean,910102,1250000,0.587,0.384,0.029,0.3978,0.4362
mean,910102,1300000,0.656,0.313,0.031,0.2807,0.5222
mean,910102,1350000,0.551,0.427,0.022,0.2092,0.3965
mean,910102,1400000,0.711,0.256,0.034,0.4839,0.5463
mean,910102,1450000,0.616,0.37,0.014,0.2396,0.4684
mean,910102,1500000,0.623,0.351,0.027,0.4034,0.4427
mean,910102,1550000,0.591,0.383,0.025,0.4469,0.4355
mean,910102,1600000,0.557,0.372,0.071,0.4154,0.429
mean,910102,1650000,0.701,0.264,0.035,0.354,0.4031
mean,910102,1700000,0.754,0.23,0.016,0.4543,0.3984
mean,910102,1750000,0.424,0.541,0.036,-0.0301,0.3387
mean,910102,1800000,0.441,0.524,0.035,0.2342,0.6082
mean,910102,1850000,0.554,0.438,0.008,0.216,0.4795
mean,910102,1900000,0.449,0.538,0.013,0.0477,0.3939
mean,910102,1950000,0.593,0.394,0.014,0.3839,0.5648
mean,910102,2000000,0.518,0.482,0.0,0.1735,0.6576
mean,920101,1250000,0.737,0.261,0.001,0.4353,0.3142
mean,920101,1300000,0.875,0.125,0.0,0.5537,0.3623
mean,920101,1350000,0.85,0.15,0.0,0.5381,0.3056
mean,920101,1400000,0.894,0.106,0.0,0.5969,0.5003
mean,920101,1450000,0.824,0.176,0.0,0.5581,0.4869
mean,920101,1500000,0.774,0.226,0.0,0.4285,0.5458
mean,920101,1550000,0.877,0.123,0.0,0.5642,0.3794
mean,920101,1600000,0.836,0.164,0.0,0.4883,0.3558
mean,920101,1650000,0.845,0.151,0.004,0.502,0.4695
mean,920101,1700000,0.865,0.135,0.0,0.5964,0.4184
mean,920101,1750000,0.786,0.214,0.0,0.5285,0.3033
mean,920101,1800000,0.892,0.105,0.003,0.5928,0.4315
mean,920101,1850000,0.86,0.137,0.003,0.5677,0.5278
mean,920101,1900000,0.917,0.083,0.0,0.6041,0.521
mean,920101,1950000,0.873,0.127,0.0,0.5807,0.3501
mean,920101,2000000,0.915,0.084,0.001,0.5814,0.5575
mean,920102,1250000,0.53,0.412,0.058,0.2206,0.4496
mean,920102,1300000,0.576,0.353,0.071,0.3947,0.4024
mean,920102,1350000,0.653,0.325,0.021,0.3037,0.3799
mean,920102,1400000,0.581,0.405,0.014,0.2586,0.2756
mean,920102,1450000,0.593,0.368,0.039,0.3178,0.351
mean,920102,1500000,0.721,0.27,0.009,0.4307,0.549
mean,920102,1550000,0.69,0.301,0.009,0.4782,0.5639
mean,920102,1600000,0.775,0.22,0.006,0.518,0.6397
mean,920102,1650000,0.759,0.239,0.001,0.3295,0.6104
mean,920102,1700000,0.708,0.292,0.0,0.3026,0.5933
mean,920102,1750000,0.694,0.304,0.001,0.3972,0.5933
mean,920102,1800000,0.847,0.153,0.0,0.4413,0.7349
mean,920102,1850000,0.664,0.332,0.004,0.3784,0.5684
mean,920102,1900000,0.858,0.142,0.0,0.5044,0.4538
mean,920102,1950000,0.726,0.274,0.0,0.429,0.4131
mean,920102,2000000,0.772,0.228,0.0,0.498,0.42
mean,920103,1250000,0.867,0.127,0.006,0.5229,0.4611
mean,920103,1300000,0.777,0.212,0.012,0.5036,0.5075
mean,920103,1350000,0.839,0.155,0.006,0.4838,0.5082
mean,920103,1400000,0.857,0.14,0.003,0.5564,0.4996
mean,920103,1450000,0.803,0.185,0.011,0.5538,0.5205
mean,920103,1500000,0.799,0.2,0.001,0.3968,0.4703
mean,920103,1550000,0.791,0.176,0.033,0.5594,0.4585
mean,920103,1600000,0.777,0.223,0.0,0.4833,0.4263
mean,920103,1650000,0.85,0.149,0.001,0.5864,0.4974
mean,920103,1700000,0.891,0.107,0.001,0.5622,0.4896
mean,920103,1750000,0.834,0.161,0.006,0.5386,0.5239
mean,920103,1800000,0.862,0.136,0.001,0.5478,0.5442
mean,920103,1850000,0.906,0.092,0.003,0.5701,0.5312
mean,920103,1900000,0.883,0.117,0.0,0.5774,0.4523
mean,920103,1950000,0.864,0.136,0.0,0.5622,0.4916
mean,920103,2000000,0.909,0.091,0.0,0.5814,0.4976
mean,920104,1250000,0.257,0.698,0.045,-0.1968,0.5716
mean,920104,1300000,0.507,0.415,0.078,0.3005,0.5939
mean,920104,1350000,0.588,0.351,0.061,0.4099,0.4121
mean,920104,1400000,0.688,0.293,0.019,0.3788,0.3889
mean,920104,1450000,0.809,0.179,0.012,0.5801,0.531
mean,920104,1500000,0.846,0.154,0.0,0.1056,0.4231
mean,920104,1550000,0.745,0.255,0.0,0.4127,0.4935
mean,920104,1600000,0.825,0.175,0.0,0.5408,0.4279
mean,920104,1650000,0.764,0.236,0.0,0.3811,0.4199
mean,920104,1700000,0.795,0.205,0.0,0.476,0.3047
mean,920104,1750000,0.779,0.205,0.016,0.5338,0.4288
mean,920104,1800000,0.757,0.243,0.0,0.4807,0.3911
mean,920104,1850000,0.895,0.105,0.0,0.4917,0.5008
mean,920104,1900000,0.64,0.348,0.012,0.2013,0.0683
mean,920104,1950000,0.715,0.258,0.027,0.4797,0.3384
mean,920104,2000000,0.606,0.386,0.008,0.3912,0.4453
mean,920105,1250000,0.782,0.217,0.001,0.4839,0.5449
mean,920105,1300000,0.852,0.147,0.001,0.5671,0.5852
mean,920105,1350000,0.823,0.174,0.003,0.511,0.466
mean,920105,1400000,0.799,0.2,0.001,0.3507,0.4964
mean,920105,1450000,0.853,0.146,0.001,0.4817,0.4171
mean,920105,1500000,0.638,0.32,0.042,0.4456,0.6673
mean,920105,1550000,0.757,0.237,0.006,0.4293,0.5954
mean,920105,1600000,0.706,0.263,0.031,0.4054,0.4251
mean,920105,1650000,0.884,0.116,0.0,0.5604,0.3431
mean,920105,1700000,0.823,0.177,0.0,0.366,0.5061
mean,920105,1750000,0.863,0.137,0.0,0.5914,0.4669
mean,920105,1800000,0.798,0.202,0.0,0.479,0.4578
mean,920105,1850000,0.9,0.099,0.001,0.5838,0.4021
mean,920105,1900000,0.809,0.191,0.0,0.5651,0.464
mean,920105,1950000,0.89,0.108,0.001,0.5592,0.4589
mean,920105,2000000,0.826,0.174,0.0,0.5625,0.4152
mean,920106,1250000,0.786,0.213,0.001,0.4189,0.5652
mean,920106,1300000,0.715,0.258,0.027,0.4187,0.4953
mean,920106,1350000,0.791,0.204,0.004,0.4101,0.2727
mean,920106,1400000,0.735,0.256,0.009,0.4821,0.4396
mean,920106,1450000,0.773,0.207,0.02,0.5162,0.5697
mean,920106,1500000,0.659,0.302,0.039,0.2806,0.3845
mean,920106,1550000,0.677,0.301,0.023,0.4226,0.4901
mean,920106,1600000,0.739,0.255,0.006,0.4204,0.3101
mean,920106,1650000,0.744,0.244,0.012,0.3116,0.4394
mean,920106,1700000,0.757,0.239,0.004,0.5408,0.5978
mean,920106,1750000,0.795,0.202,0.003,0.341,0.7333
mean,920106,1800000,0.735,0.252,0.013,0.357,0.4183
mean,920106,1850000,0.711,0.271,0.018,0.4268,0.4415
mean,920106,1900000,0.624,0.351,0.025,0.3623,0.459
mean,920106,1950000,0.617,0.36,0.024,0.384,0.4422
mean,920106,2000000,0.785,0.213,0.001,0.5422,0.4608
ggi,900101,1250000,0.867,0.133,0.0,0.5742,0.5526
ggi,900101,1300000,0.808,0.19,0.001,0.4799,0.5402
ggi,900101,1350000,0.615,0.352,0.034,0.4548,0.5746
ggi,900101,1400000,0.754,0.236,0.01,0.4117,0.6869
ggi,900101,1450000,0.702,0.29,0.009,0.3249,0.872
ggi,900101,1500000,0.695,0.294,0.011,0.4856,0.523
ggi,900101,1550000,0.772,0.228,0.0,0.3619,0.425
ggi,900101,1600000,0.849,0.148,0.003,0.4995,0.4563
ggi,900101,1650000,0.892,0.108,0.0,0.4538,0.4339
ggi,900101,1700000,0.732,0.267,0.001,0.571,0.3666
ggi,900101,1750000,0.812,0.188,0.0,0.4565,0.4719
ggi,900101,1800000,0.819,0.181,0.0,0.4793,0.455
ggi,900101,1850000,0.858,0.142,0.0,0.5048,0.3596
ggi,900101,1900000,0.825,0.175,0.0,0.5117,0.4521
ggi,900101,1950000,0.861,0.136,0.003,0.5567,0.4838
ggi,900101,2000000,0.855,0.145,0.0,0.4802,0.4685
ggi,900102,1250000,0.848,0.14,0.012,0.4868,0.572
ggi,900102,1300000,0.763,0.222,0.015,0.4465,0.4591
ggi,900102,1350000,0.786,0.171,0.043,0.3841,0.4771
ggi,900102,1400000,0.684,0.235,0.081,0.3825,0.3607
ggi,900102,1450000,0.751,0.214,0.035,0.332,0.3901
ggi,900102,1500000,0.749,0.232,0.019,0.2576,0.4267
ggi,900102,1550000,0.657,0.307,0.036,0.358,0.4401
ggi,900102,1600000,0.705,0.252,0.043,0.439,0.4049
ggi,900102,1650000,0.731,0.236,0.032,0.3859,0.4126
ggi,900102,1700000,0.631,0.305,0.064,0.2346,0.4293
ggi,900102,1750000,0.713,0.268,0.019,0.4063,0.4305
ggi,900102,1800000,0.87,0.119,0.012,0.5555,0.5102
ggi,900102,1850000,0.852,0.124,0.024,0.5361,0.5371
ggi,900102,1900000,0.829,0.152,0.02,0.5741,0.5788
ggi,900102,1950000,0.795,0.18,0.025,0.469,0.5133
ggi,900102,2000000,0.884,0.108,0.008,0.416,0.4716
ggi,900103,1250000,0.726,0.246,0.028,0.3797,0.13
ggi,900103,1300000,0.638,0.319,0.042,0.2798,0.2468
ggi,900103,1350000,0.521,0.462,0.017,0.0116,0.2013
ggi,900103,1400000,0.456,0.534,0.01,0.2694,0.0555
ggi,900103,1450000,0.503,0.487,0.009,-0.1175,0.1519
ggi,900103,1500000,0.545,0.432,0.023,0.3813,0.1282
ggi,900103,1550000,0.682,0.287,0.031,0.2583,0.0271
ggi,900103,1600000,0.779,0.205,0.016,0.5835,0.0619
ggi,900103,1650000,0.788,0.191,0.021,0.5035,0.1746
ggi,900103,1700000,0.694,0.283,0.022,0.5511,0.0863
ggi,900103,1750000,0.777,0.187,0.035,0.5397,0.1454
ggi,900103,1800000,0.759,0.219,0.022,0.3922,0.2887
ggi,900103,1850000,0.82,0.176,0.004,0.3982,0.1374
ggi,900103,1900000,0.67,0.321,0.008,0.1991,0.5773
ggi,900103,1950000,0.65,0.266,0.083,0.4019,0.6561
ggi,900103,2000000,0.538,0.422,0.04,0.3098,0.5881
ggi,900104,1250000,0.705,0.288,0.007,0.5827,0.3927
ggi,900104,1300000,0.856,0.144,0.0,0.5709,0.3861
ggi,900104,1350000,0.909,0.091,0.0,0.5946,0.4384
ggi,900104,1400000,0.874,0.121,0.004,0.4727,0.4594
ggi,900104,1450000,0.844,0.133,0.023,0.5454,0.4327
ggi,900104,1500000,0.836,0.155,0.009,0.4459,0.4341
ggi,900104,1550000,0.877,0.104,0.02,0.5568,0.4012
ggi,900104,1600000,0.847,0.14,0.013,0.5026,0.2167
ggi,900104,1650000,0.897,0.099,0.004,0.5638,0.3931
ggi,900104,1700000,0.88,0.105,0.015,0.5592,0.4302
ggi,900104,1750000,0.879,0.115,0.006,0.4807,0.3892
ggi,900104,1800000,0.88,0.094,0.026,0.4957,0.3428
ggi,900104,1850000,0.826,0.166,0.009,0.5586,0.3819
ggi,900104,1900000,0.826,0.155,0.019,0.4783,0.3727
ggi,900104,1950000,0.892,0.104,0.004,0.5487,0.3346
ggi,900104,2000000,0.805,0.195,0.0,0.4586,-0.0036
ggi,910101,1250000,0.843,0.152,0.006,0.4724,0.2656
ggi,910101,1300000,0.869,0.121,0.01,0.4968,0.4591
ggi,910101,1350000,0.875,0.112,0.013,0.5923,0.4371
ggi,910101,1400000,0.894,0.093,0.013,0.5789,0.3411
ggi,910101,1450000,0.84,0.129,0.03,0.5409,0.2769
ggi,910101,1500000,0.913,0.081,0.006,0.5706,0.4251
ggi,910101,1550000,0.776,0.205,0.019,0.5463,0.4898
ggi,910101,1600000,0.851,0.134,0.015,0.4586,0.4935
ggi,910101,1650000,0.862,0.106,0.032,0.5437,0.6068
ggi,910101,1700000,0.865,0.095,0.04,0.5694,0.5733
ggi,910101,1750000,0.848,0.149,0.003,0.5712,0.5445
ggi,910101,1800000,0.799,0.186,0.015,0.5108,0.0652
ggi,910101,1850000,0.577,0.375,0.048,0.1337,0.3121
ggi,910101,1900000,0.566,0.354,0.08,0.4138,0.4454
ggi,910101,1950000,0.649,0.274,0.077,0.4503,0.3831
ggi,910101,2000000,0.637,0.224,0.139,0.5302,0.2558
ggi,910102,1250000,0.549,0.434,0.016,0.0072,0.2919
ggi,910102,1300000,0.619,0.331,0.05,0.4559,0.4403
ggi,910102,1350000,0.547,0.41,0.043,0.282,0.3707
ggi,910102,1400000,0.611,0.319,0.07,0.3393,0.3727
ggi,910102,1450000,0.579,0.404,0.018,0.1825,0.4368
ggi,910102,1500000,0.73,0.27,0.0,0.5053,0.5153
ggi,910102,1550000,0.559,0.423,0.018,0.1257,0.3895
ggi,910102,1600000,0.638,0.355,0.007,0.2757,0.449
ggi,910102,1650000,0.67,0.328,0.001,0.4176,0.4002
ggi,910102,1700000,0.732,0.261,0.007,0.3799,0.3746
ggi,910102,1750000,0.779,0.219,0.003,0.5341,0.3169
ggi,910102,1800000,0.576,0.417,0.008,0.0942,0.327
ggi,910102,1850000,0.415,0.549,0.036,0.0335,0.2613
ggi,910102,1900000,0.532,0.398,0.069,0.1762,0.3512
ggi,910102,1950000,0.586,0.402,0.013,0.1252,0.3224
ggi,910102,2000000,0.595,0.38,0.025,0.2349,0.4751
ggi,920101,1250000,0.84,0.16,0.0,0.5843,0.5147
ggi,920101,1300000,0.864,0.136,0.0,0.5214,0.3779
ggi,920101,1350000,0.849,0.151,0.0,0.5764,0.5968
ggi,920101,1400000,0.788,0.209,0.003,0.405,0.5357
ggi,920101,1450000,0.793,0.203,0.004,0.3237,0.356
ggi,920101,1500000,0.595,0.397,0.008,0.5756,0.6504
ggi,920101,1550000,0.791,0.193,0.015,0.5135,0.3815
ggi,920101,1600000,0.812,0.185,0.003,0.5602,0.5332
ggi,920101,1650000,0.877,0.123,0.0,0.5809,0.5107
ggi,920101,1700000,0.849,0.151,0.0,0.5848,0.3311
ggi,920101,1750000,0.876,0.124,0.0,0.4946,0.3722
ggi,920101,1800000,0.861,0.139,0.0,0.5743,0.3873
ggi,920101,1850000,0.937,0.063,0.0,0.5858,0.2803
ggi,920101,1900000,0.892,0.108,0.0,0.5891,0.3334
ggi,920101,1950000,0.848,0.152,0.0,0.543,0.3133
ggi,920101,2000000,0.821,0.179,0.0,0.4553,0.5804
ggi,920102,1250000,0.415,0.531,0.053,0.1716,0.2451
ggi,920102,1300000,0.757,0.237,0.006,0.439,0.341
ggi,920102,1350000,0.835,0.164,0.001,0.4904,0.3593
ggi,920102,1400000,0.746,0.254,0.0,0.4354,0.3855
ggi,920102,1450000,0.709,0.285,0.006,0.1921,0.3145
ggi,920102,1500000,0.751,0.249,0.0,0.3712,0.3767
ggi,920102,1550000,0.705,0.295,0.0,0.3946,0.3108
ggi,920102,1600000,0.828,0.172,0.0,0.4175,0.2548
ggi,920102,1650000,0.795,0.205,0.0,0.536,0.2816
ggi,920102,1700000,0.697,0.303,0.0,0.3944,0.2964
ggi,920102,1750000,0.607,0.393,0.0,0.3515,0.2738
ggi,920102,1800000,0.72,0.28,0.0,0.4032,0.3435
ggi,920102,1850000,0.658,0.342,0.0,0.3182,0.4565
ggi,920102,1900000,0.764,0.234,0.001,0.5131,0.4834
ggi,920102,1950000,0.629,0.366,0.005,0.5431,0.4039
ggi,920102,2000000,0.783,0.217,0.0,0.3405,0.4565
ggi,920103,1250000,0.823,0.17,0.007,0.541,0.5323
ggi,920103,1300000,0.865,0.131,0.004,0.5817,0.4661
ggi,920103,1350000,0.858,0.136,0.006,0.5689,0.3809
ggi,920103,1400000,0.781,0.209,0.01,0.55,0.3778
ggi,920103,1450000,0.891,0.102,0.007,0.5602,0.3711
ggi,920103,1500000,0.843,0.133,0.024,0.5654,0.3604
ggi,920103,1550000,0.827,0.16,0.013,0.5812,0.472
ggi,920103,1600000,0.839,0.161,0.0,0.5673,0.6397
ggi,920103,1650000,0.807,0.186,0.007,0.4712,0.4767
ggi,920103,1700000,0.731,0.266,0.003,0.4244,0.4246
ggi,920103,1750000,0.767,0.209,0.024,0.2522,0.4983
ggi,920103,1800000,0.687,0.293,0.02,0.4515,0.43
ggi,920103,1850000,0.777,0.221,0.001,0.4905,0.4914
ggi,920103,1900000,0.882,0.115,0.003,0.5671,0.4777
ggi,920103,1950000,0.756,0.244,0.0,0.4782,0.4636
ggi,920103,2000000,0.817,0.173,0.01,0.5522,0.5737
ggi,920104,1250000,0.274,0.693,0.033,-0.2169,0.6969
ggi,920104,1300000,0.414,0.558,0.028,0.2708,0.3354
ggi,920104,1350000,0.598,0.362,0.041,0.1761,0.2666
ggi,920104,1400000,0.787,0.213,0.0,0.5102,0.305
ggi,920104,1450000,0.799,0.201,0.0,0.4346,0.1388
ggi,920104,1500000,0.762,0.238,0.0,0.4533,0.35
ggi,920104,1550000,0.644,0.356,0.0,0.2518,0.1579
ggi,920104,1600000,0.718,0.282,0.0,0.1335,0.1319
ggi,920104,1650000,0.669,0.331,0.0,0.3166,0.2244
ggi,920104,1700000,0.693,0.305,0.001,0.2505,0.1662
ggi,920104,1750000,0.661,0.336,0.004,0.2598,0.4049
ggi,920104,1800000,0.739,0.259,0.001,0.403,0.1045
ggi,920104,1850000,0.849,0.149,0.001,0.5145,0.1281
ggi,920104,1900000,0.843,0.157,0.0,0.5854,0.507
ggi,920104,1950000,0.819,0.181,0.0,0.4582,0.1334
ggi,920104,2000000,0.84,0.16,0.0,0.4151,0.1653
ggi,920105,1250000,0.799,0.201,0.0,0.4702,0.4364
ggi,920105,1300000,0.819,0.18,0.001,0.3395,0.3624
ggi,920105,1350000,0.802,0.18,0.018,0.17,0.5039
ggi,920105,1400000,0.615,0.329,0.056,0.3456,0.6408
ggi,920105,1450000,0.775,0.224,0.001,0.4653,0.4314
ggi,920105,1500000,0.828,0.17,0.001,0.5246,0.3715
ggi,920105,1550000,0.833,0.167,0.0,0.5411,0.3648
ggi,920105,1600000,0.762,0.235,0.003,0.4335,0.4219
ggi,920105,1650000,0.852,0.148,0.0,0.5224,0.4823
ggi,920105,1700000,0.71,0.289,0.001,0.5047,0.4505
ggi,920105,1750000,0.835,0.161,0.004,0.5121,0.4885
ggi,920105,1800000,0.785,0.214,0.001,0.5011,0.4355
ggi,920105,1850000,0.835,0.162,0.003,0.5418,0.3249
ggi,920105,1900000,0.9,0.1,0.0,0.5196,0.4647
ggi,920105,1950000,0.842,0.154,0.004,0.5843,0.4417
ggi,920105,2000000,0.838,0.162,0.0,0.5933,0.2858
ggi,920106,1250000,0.708,0.264,0.027,0.4202,0.5873
ggi,920106,1300000,0.63,0.345,0.025,0.4249,0.4461
ggi,920106,1350000,0.791,0.203,0.006,0.4952,0.4508
ggi,920106,1400000,0.832,0.168,0.0,0.4651,0.4618
ggi,920106,1450000,0.825,0.169,0.006,0.5225,0.4308
ggi,920106,1500000,0.852,0.145,0.003,0.4938,0.4738
ggi,920106,1550000,0.838,0.162,0.0,0.5384,0.4268
ggi,920106,1600000,0.791,0.209,0.0,0.5537,0.3387
ggi,920106,1650000,0.821,0.179,0.0,0.5301,0.1636
ggi,920106,1700000,0.713,0.286,0.001,0.3611,0.4362
ggi,920106,1750000,0.739,0.26,0.001,0.4,0.5793
ggi,920106,1800000,0.795,0.203,0.001,0.5234,0.5214
ggi,920106,1850000,0.736,0.26,0.004,0.4916,0.404
ggi,920106,1900000,0.679,0.31,0.011,0.4429,0.6382
ggi,920106,1950000,0.767,0.231,0.001,0.2565,0.4666
ggi,920106,2000000,0.785,0.205,0.01,0.5093,0.4564
maximin,900101,1250000,0.296,0.704,0.0,-0.2054,0.9224
maximin,900101,1300000,0.401,0.583,0.016,0.0694,-0.0333
maximin,900101,1350000,0.616,0.369,0.015,0.3311,0.0579
maximin,900101,1400000,0.59,0.401,0.01,-0.0258,0.1726
maximin,900101,1450000,0.774,0.22,0.006,0.5184,0.2858
maximin,900101,1500000,0.783,0.217,0.0,0.2595,0.3063
maximin,900101,1550000,0.656,0.306,0.038,0.4566,0.1005
maximin,900101,1600000,0.714,0.285,0.001,0.2895,0.1129
maximin,900101,1650000,0.766,0.234,0.0,0.4231,0.3251
maximin,900101,1700000,0.74,0.253,0.007,0.4758,0.1909
maximin,900101,1750000,0.739,0.261,0.0,0.4825,0.4215
maximin,900101,1800000,0.672,0.325,0.003,0.3498,0.2848
maximin,900101,1850000,0.774,0.226,0.0,0.4216,0.3917
maximin,900101,1900000,0.66,0.301,0.039,0.2965,0.1514
maximin,900101,1950000,0.742,0.244,0.015,0.4296,0.4534
maximin,900101,2000000,0.481,0.452,0.067,0.3496,0.5512
maximin,900102,1250000,0.908,0.085,0.007,0.5629,0.5795
maximin,900102,1300000,0.921,0.075,0.004,0.5698,0.5726
maximin,900102,1350000,0.76,0.216,0.024,0.3669,0.4322
maximin,900102,1400000,0.797,0.178,0.025,0.4225,0.4311
maximin,900102,1450000,0.704,0.288,0.008,0.3513,0.4613
maximin,900102,1500000,0.796,0.204,0.0,0.4522,0.521
maximin,900102,1550000,0.512,0.457,0.031,0.2119,0.2908
maximin,900102,1600000,0.716,0.27,0.014,0.3421,0.3495
maximin,900102,1650000,0.761,0.225,0.014,0.4311,0.4718
maximin,900102,1700000,0.773,0.223,0.004,0.3288,0.4221
maximin,900102,1750000,0.626,0.362,0.013,0.3157,0.3897
maximin,900102,1800000,0.714,0.28,0.007,0.3517,0.411
maximin,900102,1850000,0.688,0.31,0.003,0.3693,0.3538
maximin,900102,1900000,0.532,0.457,0.011,0.3237,0.2702
maximin,900102,1950000,0.7,0.285,0.015,0.4014,0.2461
maximin,900102,2000000,0.693,0.3,0.007,0.1644,0.2374
maximin,900103,1250000,0.656,0.294,0.05,0.2678,0.2276
maximin,900103,1300000,0.546,0.369,0.086,0.1878,0.1592
maximin,900103,1350000,0.745,0.249,0.006,0.3387,0.2062
maximin,900103,1400000,0.756,0.203,0.041,0.2558,0.4006
maximin,900103,1450000,0.749,0.207,0.044,0.5464,0.216
maximin,900103,1500000,0.816,0.148,0.035,0.5696,0.3994
maximin,900103,1550000,0.674,0.286,0.04,0.2936,0.2625
maximin,900103,1600000,0.65,0.298,0.052,0.3404,0.1373
maximin,900103,1650000,0.62,0.346,0.034,0.4478,0.1116
maximin,900103,1700000,0.655,0.307,0.038,0.1939,0.0711
maximin,900103,1750000,0.695,0.263,0.042,0.5099,0.1
maximin,900103,1800000,0.748,0.213,0.038,0.2897,0.1802
maximin,900103,1850000,0.809,0.164,0.026,0.5083,0.2346
maximin,900103,1900000,0.833,0.147,0.02,0.5166,0.3259
