run_id,condition,seed,bank,scenario_id,term_reason,completion,collision,timeout,merge_order,role_V0,speed_class_V0,window_entry_step_V0,window_exit_step_V0,window_active_steps_V0,brake_action_count_window_V0,brake_rate_window_V0,c_brake_window_V0,hard_brake_events_window_V0,hard_brake_events_episode_V0,role_V1,speed_class_V1,window_entry_step_V1,window_exit_step_V1,window_active_steps_V1,brake_action_count_window_V1,brake_rate_window_V1,c_brake_window_V1,hard_brake_events_window_V1,hard_brake_events_episode_V1,role_V2,speed_class_V2,window_entry_step_V2,window_exit_step_V2,window_active_steps_V2,brake_action_count_window_V2,brake_rate_window_V2,c_brake_window_V2,hard_brake_events_window_V2,hard_brake_events_episode_V2,role_V3,speed_class_V3,window_entry_step_V3,window_exit_step_V3,window_active_steps_V3,brake_action_count_window_V3,brake_rate_window_V3,c_brake_window_V3,hard_brake_events_window_V3,hard_brake_events_episode_V3
baseline_900101,baseline,900101,H1,H1_00025,success,1,0,0,V1>V2>V0>V3,ramp,slow,25.0,52.0,27,1,0.037037037037037,0.043907,0,0,ramp,fast,19.0,45.0,26,0,0.0,0.044123,0,0,mainline,slow,19.0,46.0,27,0,0.0,0.041927,0,0,mainline,fast,26.0,53.0,27,0,0.0,0.012769,0,0
baseline_900101,baseline,900101,H1,H1_00026,success,1,0,0,V1>V3>V0>V2,ramp,slow,26.0,52.0,26,0,0.0,0.043907,0,0,ramp,fast,20.0,46.0,26,0,0.0,0.04417,0,0,mainline,fast,27.0,54.0,27,0,0.0,0.010382,0,0,mainline,slow,20.0,48.0,28,0,0.0,0.041927,0,0
baseline_900101,baseline,900101,H1,H1_00027,success,1,0,0,V0>V3>V2>V1,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,ramp,slow,25.0,54.0,29,2,0.0689655172413793,1.333927,1,1,mainline,fast,26.0,53.0,27,2,0.074074074074074,0.731381,1,1,mainline,slow,19.0,47.0,28,0,0.0,0.041927,0,0
baseline_900101,baseline,900101,H1,H1_00028,success,1,0,0,V3>V0>V2>V1,ramp,fast,20.0,47.0,27,0,0.0,0.02881,0,0,ramp,slow,26.0,53.0,27,0,0.0,0.031062,0,1,mainline,slow,25.0,52.0,27,0,0.0,0.043907,0,0,mainline,fast,19.0,45.0,26,0,0.0,0.044123,0,0
baseline_900101,baseline,900101,H1,H1_00029,success,1,0,0,V0>V3>V2>V1,ramp,fast,18.0,45.0,27,0,0.0,0.044123,0,0,ramp,slow,26.0,53.0,27,0,0.0,0.003144,0,2,mainline,slow,25.0,52.0,27,0,0.0,0.043907,0,0,mainline,fast,20.0,46.0,26,0,0.0,0.028723,0,0
baseline_900101,baseline,900101,H1,H1_00030,success,1,0,0,V0>V2>V1>V3,ramp,fast,19.0,45.0,26,0,0.0,0.044123,0,0,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,mainline,slow,19.0,46.0,27,14,0.5185185185185185,0.042384,0,0,mainline,fast,26.0,53.0,27,0,0.0,0.012769,0,0
baseline_900101,baseline,900101,H1,H1_00031,success,1,0,0,V2>V0>V1>V3,ramp,fast,20.0,47.0,27,0,0.0,0.018815,0,0,ramp,slow,26.0,52.0,26,0,0.0,0.043907,0,0,mainline,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,27.0,54.0,27,0,0.0,0.003158,0,2
baseline_900101,baseline,900101,H1,H1_00032,collision,0,1,0,V2>V1>V0>V3,ramp,fast,26.0,54.0,28,8,0.2857142857142857,1.696221,5,5,ramp,slow,20.0,50.0,30,1,0.0333333333333333,0.208822,1,2,mainline,slow,19.0,48.0,29,0,0.0,0.03082,0,0,mainline,fast,27.0,54.0,27,14,0.5185185185185185,1.009241,5,9
baseline_900101,baseline,900101,H1,H1_00033,success,1,0,0,V3>V1>V0>V2,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,ramp,fast,20.0,47.0,27,11,0.4074074074074074,1.202119,4,5,mainline,slow,26.0,54.0,28,0,0.0,0.043505,0,2,mainline,fast,19.0,46.0,27,10,0.3703703703703703,0.04417,0,0
baseline_900101,baseline,900101,H1,H1_00034,success,1,0,0,V2>V0>V3>V1,ramp,slow,20.0,48.0,28,0,0.0,0.042384,0,0,ramp,fast,27.0,54.0,27,0,0.0,0.010382,0,0,mainline,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,26.0,52.0,26,0,0.0,0.043907,0,0
baseline_900101,baseline,900101,H1,H1_00035,success,1,0,0,V3>V1>V0>V2,ramp,fast,27.0,54.0,27,0,0.0,0.019997,0,0,ramp,slow,19.0,47.0,28,0,0.0,0.001085,0,0,mainline,fast,28.0,55.0,27,0,0.0,0.016954,0,5,mainline,slow,18.0,46.0,28,0,0.0,0.042756,0,0
baseline_900101,baseline,900101,H1,H1_00036,success,1,0,0,V1>V2>V0>V3,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,ramp,fast,19.0,45.0,26,0,0.0,0.044123,0,0,mainline,slow,19.0,47.0,28,0,0.0,0.042384,0,0,mainline,fast,26.0,53.0,27,0,0.0,0.02786,0,1
baseline_900101,baseline,900101,H1,H1_00037,success,1,0,0,V2>V0>V3>V1,ramp,slow,19.0,47.0,28,0,0.0,0.001085,0,0,ramp,fast,28.0,55.0,27,1,0.037037037037037,0.406166,1,5,mainline,slow,18.0,46.0,28,0,0.0,0.042756,0,0,mainline,fast,27.0,54.0,27,0,0.0,0.019997,0,0
baseline_900101,baseline,900101,H1,H1_00038,success,1,0,0,V3>V0>V2>V1,ramp,slow,18.0,47.0,29,0,0.0,0.041927,0,0,ramp,fast,26.0,52.0,26,0,0.0,0.012758,0,0,mainline,slow,24.0,51.0,27,1,0.037037037037037,0.043799,0,0,mainline,fast,18.0,45.0,27,0,0.0,0.044123,0,0
baseline_900101,baseline,900101,H1,H1_00039,success,1,0,0,V1>V3>V0>V2,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,ramp,fast,19.0,45.0,26,0,0.0,0.044123,0,0,mainline,fast,26.0,53.0,27,0,0.0,0.018116,0,2,mainline,slow,18.0,46.0,28,0,0.0,0.041927,0,0
baseline_900101,baseline,900101,H1,H1_00040,success,1,0,0,V2>V1>V0>V3,ramp,slow,24.0,51.0,27,0,0.0,0.043799,0,0,ramp,fast,19.0,46.0,27,0,0.0,0.043799,0,2,mainline,fast,18.0,45.0,27,0,0.0,0.044123,0,0,mainline,slow,26.0,53.0,27,0,0.0,0.022187,0,0
baseline_900101,baseline,900101,H1,H1_00041,success,1,0,0,V1>V3>V0>V2,ramp,fast,28.0,54.0,26,0,0.0,0.021038,0,0,ramp,slow,19.0,46.0,27,0,0.0,0.042756,0,0,mainline,fast,29.0,56.0,27,5,0.1851851851851851,0.573588,1,6,mainline,slow,20.0,48.0,28,0,0.0,0.023672,0,0
baseline_900101,baseline,900101,H1,H1_00042,success,1,0,0,V1>V2>V0>V3,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,19.0,47.0,28,0,0.0,0.042384,0,0,mainline,fast,27.0,53.0,26,0,0.0,0.013606,0,0
baseline_900101,baseline,900101,H1,H1_00043,success,1,0,0,V1>V2>V0>V3,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,19.0,47.0,28,0,0.0,0.042384,0,0,mainline,fast,27.0,53.0,26,0,0.0,0.029198,0,1
baseline_900101,baseline,900101,H1,H1_00044,success,1,0,0,V3>V1>V2>V0,ramp,fast,27.0,53.0,26,0,0.0,0.010373,0,0,ramp,slow,20.0,47.0,27,0,0.0,0.041927,0,0,mainline,slow,25.0,52.0,27,0,0.0,0.043907,0,0,mainline,fast,19.0,46.0,27,0,0.0,0.04417,0,0
baseline_900101,baseline,900101,H1,H1_00045,success,1,0,0,V1>V3>V2>V0,ramp,slow,26.0,53.0,27,0,0.0,0.037452,0,0,ramp,fast,19.0,45.0,26,0,0.0,0.044123,0,0,mainline,slow,25.0,52.0,27,0,0.0,0.043907,0,0,mainline,fast,20.0,47.0,27,0,0.0,0.034918,0,0
baseline_900101,baseline,900101,H1,H1_00046,success,1,0,0,V0>V2>V1>V3,ramp,fast,18.0,45.0,27,0,0.0,0.044123,0,0,ramp,slow,25.0,52.0,27,0,0.0,0.019206,0,0,mainline,fast,19.0,46.0,27,0,0.0,0.029455,0,0,mainline,slow,25.0,54.0,29,2,0.0689655172413793,0.139063,0,0
baseline_900101,baseline,900101,H1,H1_00047,success,1,0,0,V3>V0>V1>V2,ramp,fast,20.0,46.0,26,0,0.0,0.028723,0,0,ramp,slow,25.0,51.0,26,0,0.0,0.043799,0,0,mainline,slow,26.0,53.0,27,0,0.0,0.043305,0,2,mainline,fast,18.0,45.0,27,0,0.0,0.044123,0,0
baseline_900101,baseline,900101,H1,H1_00048,success,1,0,0,V0>V2>V3>V1,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,ramp,slow,26.0,54.0,28,0,0.0,0.037666,0,0,mainline,fast,21.0,48.0,27,0,0.0,0.036887,0,0,mainline,slow,26.0,52.0,26,0,0.0,0.043907,0,0
baseline_900101,baseline,900101,H1,H1_00049,success,1,0,0,V0>V3>V1>V2,ramp,slow,19.0,46.0,27,0,0.0,0.042756,0,0,ramp,fast,28.0,55.0,27,0,0.0,0.020024,0,0,mainline,fast,29.0,56.0,27,7,0.2592592592592592,0.573485,1,5,mainline,slow,20.0,48.0,28,0,0.0,0.023672,0,0
baseline_900101,baseline,900101,H1,H1_00050,success,1,0,0,V3>V1>V2>V0,ramp,fast,26.0,52.0,26,1,0.0384615384615384,0.012758,0,0,ramp,slow,18.0,46.0,28,0,0.0,0.041927,0,0,mainline,slow,24.0,51.0,27,3,0.1111111111111111,0.043799,0,0,mainline,fast,18.0,45.0,27,0,0.0,0.044123,0,0
baseline_900101,baseline,900101,H1,H1_00051,success,1,0,0,V3>V1>V0>V2,ramp,fast,26.0,52.0,26,0,0.0,0.016165,0,0,ramp,slow,18.0,47.0,29,0,0.0,0.001085,0,0,mainline,fast,27.0,53.0,26,0,0.0,0.025696,0,2,mainline,slow,17.0,45.0,28,0,0.0,0.042384,0,0
baseline_900101,baseline,900101,H1,H1_00052,success,1,0,0,V1>V2>V0>V3,ramp,slow,25.0,51.0,26,0,0.0,0.043799,0,0,ramp,fast,18.0,45.0,27,0,0.0,0.044123,0,0,mainline,slow,18.0,46.0,28,0,0.0,0.041927,0,0,mainline,fast,26.0,53.0,27,0,0.0,0.029552,0,1
baseline_900101,baseline,900101,H1,H1_00053,success,1,0,0,V1>V2>V3>V0,ramp,slow,25.0,53.0,28,0,0.0,0.006736,0,1,ramp,fast,18.0,45.0,27,0,0.0,0.044123,0,0,mainline,fast,19.0,46.0,27,0,0.0,0.043799,0,2,mainline,slow,24.0,51.0,27,0,0.0,0.043799,0,0
baseline_900101,baseline,900101,H1,H1_00054,success,1,0,0,V1>V2>V3>V0,ramp,slow,27.0,54.0,27,0,0.0,0.037666,0,0,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,fast,21.0,48.0,27,0,0.0,0.029513,0,0,mainline,slow,26.0,52.0,26,0,0.0,0.043907,0,0
baseline_900101,baseline,900101,H1,H1_00055,success,1,0,0,V0>V2>V1>V3,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,ramp,slow,25.0,52.0,27,1,0.037037037037037,0.043907,0,0,mainline,slow,19.0,47.0,28,0,0.0,0.041927,0,0,mainline,fast,26.0,53.0,27,0,0.0,0.012769,0,0
baseline_900101,baseline,900101,H1,H1_00056,success,1,0,0,V2>V0>V3>V1,ramp,slow,19.0,47.0,28,0,0.0,0.041927,0,0,ramp,fast,27.0,53.0,26,0,0.0,0.012927,0,2,mainline,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,25.0,52.0,27,0,0.0,0.043907,0,0
baseline_900101,baseline,900101,H1,H1_00057,success,1,0,0,V2>V0>V1>V3,ramp,slow,19.0,47.0,28,0,0.0,0.001085,0,0,ramp,fast,27.0,54.0,27,0,0.0,0.019997,0,0,mainline,slow,18.0,45.0,27,0,0.0,0.042384,0,0,mainline,fast,28.0,55.0,27,0,0.0,0.028782,0,6
baseline_900101,baseline,900101,H1,H1_00058,success,1,0,0,V2>V1>V3>V0,ramp,fast,27.0,55.0,28,0,0.0,0.000217,0,3,ramp,slow,20.0,50.0,30,0,0.0,0.030586,0,0,mainline,slow,19.0,47.0,28,0,0.0,0.023276,0,0,mainline,fast,27.0,54.0,27,0,0.0,0.022221,0,0
baseline_900101,baseline,900101,H1,H1_00059,success,1,0,0,V0>V3>V1>V2,ramp,fast,19.0,45.0,26,0,0.0,0.044123,0,0,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,mainline,fast,26.0,53.0,27,0,0.0,0.024469,0,1,mainline,slow,19.0,46.0,27,0,0.0,0.041927,0,0
baseline_900101,baseline,900101,H1,H1_00060,success,1,0,0,V2>V0>V3>V1,ramp,slow,18.0,46.0,28,0,0.0,0.042384,0,0,ramp,fast,25.0,52.0,27,0,0.0,0.379581,1,1,mainline,fast,18.0,44.0,26,0,0.0,0.044065,0,0,mainline,slow,24.0,51.0,27,1,0.037037037037037,0.043799,0,0
baseline_900101,baseline,900101,H1,H1_00061,success,1,0,0,V1>V3>V0>V2,ramp,slow,24.0,51.0,27,0,0.0,0.043799,0,0,ramp,fast,18.0,44.0,26,0,0.0,0.044065,0,0,mainline,fast,26.0,52.0,26,0,0.0,0.033917,0,2,mainline,slow,18.0,45.0,27,13,0.4814814814814814,0.041927,0,0
baseline_900101,baseline,900101,H1,H1_00062,success,1,0,0,V3>V1>V2>V0,ramp,fast,28.0,55.0,27,2,0.074074074074074,0.576184,2,3,ramp,slow,20.0,48.0,28,0,0.0,0.006434,0,1,mainline,fast,28.0,54.0,26,0,0.0,0.005814,0,0,mainline,slow,19.0,46.0,27,0,0.0,0.042756,0,0
baseline_900101,baseline,900101,H1,H1_00063,success,1,0,0,V1>V2>V0>V3,ramp,slow,26.0,52.0,26,0,0.0,0.043907,0,0,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,20.0,48.0,28,0,0.0,0.042384,0,0,mainline,fast,27.0,53.0,26,0,0.0,0.009869,0,1
baseline_900101,baseline,900101,H1,H1_00064,success,1,0,0,V2>V0>V1>V3,ramp,slow,20.0,48.0,28,0,0.0,0.006434,0,1,ramp,fast,28.0,55.0,27,0,0.0,0.019255,0,3,mainline,slow,19.0,46.0,27,0,0.0,0.042756,0,0,mainline,fast,29.0,56.0,27,0,0.0,0.043799,0,6
baseline_900101,baseline,900101,H1,H1_00065,success,1,0,0,V3>V0>V2>V1,ramp,slow,18.0,46.0,28,0,0.0,0.042384,0,0,ramp,fast,25.0,52.0,27,0,0.0,0.177065,0,2,mainline,slow,24.0,51.0,27,0,0.0,0.043799,0,0,mainline,fast,18.0,44.0,26,0,0.0,0.044065,0,0
baseline_900101,baseline,900101,H1,H1_00066,success,1,0,0,V3>V1>V2>V0,ramp,fast,26.0,52.0,26,1,0.0384615384615384,0.040943,0,0,ramp,slow,18.0,46.0,28,0,0.0,0.042384,0,0,mainline,slow,24.0,51.0,27,0,0.0,0.043799,0,0,mainline,fast,18.0,45.0,27,0,0.0,0.044123,0,0
baseline_900101,baseline,900101,H1,H1_00067,success,1,0,0,V2>V0>V3>V1,ramp,fast,19.0,46.0,27,0,0.0,0.028723,0,0,ramp,slow,25.0,52.0,27,0,0.0,0.030919,0,1,mainline,fast,18.0,45.0,27,0,0.0,0.044123,0,0,mainline,slow,24.0,51.0,27,0,0.0,0.043799,0,0
baseline_900101,baseline,900101,H1,H1_00068,success,1,0,0,V0>V3>V1>V2,ramp,slow,20.0,50.0,30,0,0.0,0.015358,0,0,ramp,fast,28.0,54.0,26,0,0.0,0.022221,0,0,mainline,fast,28.0,55.0,27,0,0.0,0.033995,0,4,mainline,slow,21.0,52.0,31,0,0.0,0.009777,0,0
baseline_900101,baseline,900101,H1,H1_00069,success,1,0,0,V0>V3>V2>V1,ramp,fast,18.0,45.0,27,0,0.0,0.044123,0,0,ramp,slow,26.0,53.0,27,0,0.0,0.003144,0,2,mainline,slow,25.0,51.0,26,0,0.0,0.043799,0,0,mainline,fast,19.0,46.0,27,0,0.0,0.028723,0,0
baseline_900101,baseline,900101,H1,H1_00070,success,1,0,0,V0>V3>V1>V2,ramp,fast,18.0,45.0,27,8,0.2962962962962963,0.044123,0,0,ramp,slow,24.0,51.0,27,0,0.0,0.043799,0,0,mainline,fast,26.0,52.0,26,0,0.0,0.044554,0,2,mainline,slow,18.0,45.0,27,13,0.4814814814814814,0.041927,0,0
baseline_900101,baseline,900101,H1,H1_00071,success,1,0,0,V1>V3>V0>V2,ramp,slow,25.0,51.0,26,0,0.0,0.043799,0,0,ramp,fast,18.0,45.0,27,0,0.0,0.044123,0,0,mainline,fast,26.0,53.0,27,0,0.0,0.029552,0,1,mainline,slow,18.0,46.0,28,0,0.0,0.041364,0,0
baseline_900101,baseline,900101,H1,H1_00072,success,1,0,0,V0>V3>V2>V1,ramp,fast,20.0,46.0,26,0,0.0,0.04417,0,0,ramp,slow,26.0,54.0,28,0,0.0,0.031986,0,0,mainline,slow,26.0,52.0,26,0,0.0,0.043907,0,0,mainline,fast,21.0,48.0,27,0,0.0,0.036887,0,0
baseline_900101,baseline,900101,H1,H1_00073,success,1,0,0,V2>V1>V0>V3,ramp,fast,27.0,53.0,26,0,0.0,0.013221,0,0,ramp,slow,19.0,47.0,28,0,0.0,0.009515,0,0,mainline,slow,18.0,46.0,28,0,0.0,0.042756,0,0,mainline,fast,28.0,55.0,27,0,0.0,0.02095,0,5
baseline_900101,baseline,900101,H1,H1_00074,success,1,0,0,V3>V0>V2>V1,ramp,slow,20.0,48.0,28,0,0.0,0.035826,0,1,ramp,fast,28.0,55.0,27,3,0.1111111111111111,0.405917,2,3,mainline,fast,27.0,54.0,27,0,0.0,0.00165,0,0,mainline,slow,19.0,46.0,27,0,0.0,0.042756,0,0
